Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
REA Group Limited,REA.AX,110.8,108.93,1.87,105.73,1.05,125372,14.639B
Kikkoman Corporation,2801.T,6940.0,7060.0,-120.0,46.22,150.17,540900,1.33T
Deutsche Lufthansa AG,LHA.DE,7.76,7.85,-0.09,0,-9.96,2030772,9.283B
Annaly Capital Management Inc.,NLY,21.08,21.38,-0.3,6.79,3.1,5879939,30.569B
Crown Holdings Inc.,CCK,82.21,82.88,-0.67,15.74,5.22,687372,10.512B
Ceridian HCM Holding Inc.,CDAY,64.15,63.23,0.92,0,-0.03,1116566,9.708B
ANA Holdings Inc.,9202.T,2800.0,2798.5,1.5,0,-1082.04,1872600,1.317T
Brenntag SE,BNR.DE,59.72,60.08,-0.36,19.78,3.02,178637,9.227B
Gjensidige Forsikring ASA,XGJ.F,18.02,17.9,0.12,13.3,1.36,500,9.173B
Ford Otomotiv Sanayi A.S.,FROTO.IS,524.5,524.0,0.5,34.17,15.35,3179549,184.052B
Five Below Inc.,FIVE,176.87,177.42,-0.55,80.4,2.2,634854,9.909B
Cameco Corporation,CCJ,22.67,22.59,0.08,0,-0.11,2963419,9.022B
Sonic Healthcare Limited,SHL.AX,29.97,29.94,0.03,15.1,1.99,519390,14.377B
Entegris Inc.,ENTG,65.59,65.44,0.15,28.15,2.33,1122076,8.886B
Eastman Chemical Company,EMN,81.44,82.19,-0.75,22.57,3.61,567331,10.949B
Asahi Kasei Corporation,3407.T,941.4,945.8,-4.4,16.31,57.72,2228600,1.306T
Vivendi SE,VIV.PA,8.91,9.01,-0.1,7.07,1.26,1660814,9.319B
Prysmian S.p.A.,PRY.MI,34.66,35.31,-0.65,50.97,0.68,426470,9.13B
Flex Ltd.,FLEX,21.46,21.41,0.05,25.82,0.83,1838931,10.1B
Yandex N.V.,YNDX.ME,1704.0,1711.0,-7.0,39.11,43.57,262131,620.326B
LG Corp.,003550.KS,78100.0,79500.0,-1400.0,0,0,154344,12.462T
Adani Wilmar Limited,AWL.NS,617.65,605.2,12.45,0,0,3989381,N/A
Hong Leong Bank Berhad,5819.KL,20.56,20.54,0.02,19.29,0,921900,42.901B
Hyatt Hotels Corporation,H,90.45,89.45,1.0,0,-6.94,438742,9.945B
Hana Financial Group Inc.,086790.KS,42050.0,42150.0,-100.0,0,0,722880,12.26T
Renault SA,RNO.PA,31.27,31.55,-0.28,0,-29.51,505427,9.075B
Watsco Inc.,WSO,249.4,252.55,-3.15,32.52,7.67,310910,9.668B
Infrastrutture Wireless Italiane S.p.A.,INW.MI,9.41,9.54,-0.13,52.3,0.18,497228,9.037B
Black Knight Inc.,BKI,61.75,61.09,0.66,35.69,1.73,480681,9.59B
Zendesk Inc.,ZEN,77.48,77.46,0.02,0,-1.93,3638435,9.404B
Bath & Body Works Inc.,BBWI,42.14,41.65,0.49,7.34,5.74,2047579,10.86B
CarMax Inc.,KMX,60.89,61.26,-0.37,13.47,4.52,2140595,9.856B
Ivanhoe Mines Ltd.,IVN.TO,10.7,10.76,-0.06,0,-0.03,782743,12.933B
Vail Resorts Inc.,MTN,238.35,237.94,0.41,0,-0.18,276018,9.65B
Lamar Advertising Company,LAMR,94.4,94.69,-0.29,39.53,2.39,297480,9.557B
Sumitomo Metal Mining Co. Ltd.,5713.T,4671.0,4664.0,7.0,23.53,198.51,943400,1.283T
Fresenius Medical Care AG & Co. KGaA,FMS,16.34,16.32,0.02,6.85,2.39,576695,9.575B
QNB Finansbank A.S.,QNBFB.IS,53.5,53.0,0.5,65.09,0.82,4532,179.225B
Ares Capital Corporation,ARCC,18.47,18.7,-0.23,5.34,3.46,3624521,8.51B
Builders FirstSource Inc.,BLDR,64.88,65.2,-0.32,24.39,2.66,1795015,12.425B
OMRON Corporation,6645.T,6405.0,6295.0,110.0,29.83,214.72,959100,1.288T
Reinsurance Group of America Incorporated,RGA,142.09,142.58,-0.49,22.52,6.31,184789,9.605B
Spirax-Sarco Engineering plc,SPX.L,10615.0,10760.0,-145.0,45.21,234.8,46178,7.83B
Eiffage SA,FGR.PA,91.92,93.48,-1.56,24.19,3.8,88588,8.902B
Country Garden Holdings Company Limited,2007.HK,2.67,2.62,0.05,1.29,2.067,149564499,61.806B
Rolls-Royce Holdings plc,RR.L,93.2,92.45,0.75,0,-52.9,8817856,7.799B
Gerdau S.A.,GGB,5.54,5.61,-0.07,21.81,0.25,3312218,9.449B
AutoNation Inc.,AN,107.3,107.5,-0.2,10.97,9.78,618723,7.032B
Chr. Hansen Holding A/S,51C.F,66.76,67.22,-0.46,38.15,1.75,100,8.791B
Keppel Corporation Limited,BN4.SI,7.26,7.29,-0.03,0,-0.28,1485800,13.21B
WillScot Mobile Mini Holdings Corp.,WSC,45.17,45.07,0.1,0,-0.1,1252441,10.08B
Entain Plc,ENT.L,1321.5,1329.5,-8.0,134.85,9.8,431413,7.751B
BorgWarner Inc.,BWA,40.25,40.46,-0.21,17.2,2.34,791553,9.651B
ICL Group Ltd,ICL,7.31,7.25,0.06,812.22,0.01,982152,9.412B
Repligen Corporation,RGEN,169.31,170.9,-1.59,152.53,1.11,260179,9.361B
Toast Inc.,TOST,18.03,17.95,0.08,0,-2.55,2304126,9.101B
Gold Fields Limited,GFI,10.35,10.48,-0.13,12.81,0.81,3023386,9.367B
Red Eléctrica Corporación S.A.,RED.MC,16.26,16.62,-0.36,0,0,923367,N/A
InterGlobe Aviation Limited,INDIGO.NS,2007.7,2015.65,-7.95,0,-143.68,371770,773.348B
Wynn Resorts Limited,WYNN,82.47,81.26,1.21,0,-19.37,1614727,9.538B
Burberry Group plc,BRBY.L,2030.0,2053.0,-23.0,398.04,5.1,353143,8.168B
China Oilfield Services Limited,2883.HK,9.49,9.29,0.2,16.19,0.586,3067776,91.711B
HKT Trust and HKT Limited,6823.HK,9.57,9.61,-0.04,13.89,0.689,2907819,72.5B
Antero Resources Corporation,AR,30.99,30.9,0.09,0,-3.43,5061735,9.729B
East West Bancorp Inc.,EWBC,65.9,66.07,-0.17,14.94,4.41,439616,9.352B
ESR Group Limited,1821.HK,16.38,16.1,0.28,0,0,2516697,49.936B
JBS S.A.,JBSS3.SA,21.99,21.64,0.35,12.71,1.73,6171000,52.201B
Coinbase Global Inc.,COIN,35.39,34.78,0.61,2.66,13.29,8397944,9.269B
NEC Corporation,6701.T,4635.0,4645.0,-10.0,11.68,396.82,608500,1.263T
Allegion plc,ALLE,105.26,106.74,-1.48,23.03,4.57,280848,9.441B
Vistra Corp.,VST,23.2,24.07,-0.87,17.85,1.3,3317935,11.197B
Ampol Limited,ALD.AX,28.28,28.21,0.07,0,-1.94,454780,6.739B
The Sage Group plc,SGE.L,745.6,751.2,-5.6,26.53,28.1,1375848,7.618B
Huntington Ingalls Industries Inc.,HII,230.68,230.97,-0.29,13.46,17.14,139785,9.241B
Morningstar Inc.,MORN,216.59,219.54,-2.95,36.7,5.9,65354,9.334B
Qorvo Inc.,QRVO,90.64,90.31,0.33,21.8,4.16,858992,9.991B
President Chain Store Corporation,2912.TW,272.0,271.5,0.5,27.67,9.83,687211,282.777B
Zalando SE,ZAL.DE,33.11,34.24,-1.13,38.5,0.86,377387,8.313B
Tapestry Inc.,TPR,38.08,37.72,0.36,0,-1.55,1977132,10.477B
Alstom SA,ALO.PA,22.82,23.14,-0.32,12.68,1.8,627850,8.521B
Jabil Inc.,JBL,68.2,68.45,-0.25,28.42,2.4,697814,9.832B
Central Pattana Public Company Limited,CPN.BK,71.0,72.5,-1.5,33.35,2.13,9225030,317.43B
KakaoBank Corp.,323410.KS,24300.0,25050.0,-750.0,0,0,1901080,11.545T
Cochlear Limited,COH.AX,204.12,203.53,0.59,0,-2.51,62865,13.426B
CubeSmart,CUBE,40.25,40.66,-0.41,46.8,0.86,1131570,8.807B
HELLA GmbH & Co. KGaA,HLE.F,75.3,74.0,1.3,0,-3.69,325,8.377B
SBI Cards and Payment Services Limited,SBICARD.NS,795.5,785.15,10.35,76.64,10.38,656931,750.227B
NEXT plc,NXT.L,5806.0,5752.0,54.0,26.16,221.9,193847,7.719B
Performance Food Group Company,PFGC,58.39,58.94,-0.55,0,-1.38,765037,9.01B
Halma plc,HLMA.L,1974.0,2020.0,-46.0,42.36,46.6,327554,7.494B
Bilibili Inc.,BILI,23.69,24.29,-0.6,0,-1.35,6115918,9.071B
STORE Capital Corporation,STOR,32.06,32.08,-0.02,38.21,0.84,1741733,8.743B
Quanta Computer Inc.,2382.TW,72.3,71.7,0.6,11.11,6.51,6792284,278.682B
PUMA SE,PUM.DE,56.7,56.56,0.14,55.81,1.02,163720,8.521B
TD SYNNEX Corporation,SNX,94.71,96.01,-1.3,9.95,9.52,179092,9.093B
Origin Energy Limited,ORG.AX,7.72,7.69,0.03,0,-0.29,2084480,13.597B
Twilio Inc.,TWLO,48.96,48.11,0.85,0,-3.35,2986309,8.731B
Spring Airlines Co. Ltd.,601021.SS,64.25,63.19,1.06,0,-0.7,3212546,58.883B
Holdings) Limited,0004.HK,22.95,22.7,0.25,20.68,1.11,2333566,70.136B
Isuzu Motors Limited,7202.T,1547.0,1548.0,-1.0,26.97,57.36,1792200,1.141T
ASX Limited,ASX.AX,68.02,67.81,0.21,26.86,2.53,177302,13.168B
WestRock Company,WRK,35.16,35.29,-0.13,0,-2.61,1074095,9.25B
Caesars Entertainment Inc.,CZR,41.6,41.44,0.16,0,-13.52,2075691,8.893B
publ),SCA-B.ST,131.95,134.8,-2.85,85.35,1.55,1187388,92.722B
Evonik Industries AG,EVK.DE,17.93,18.08,-0.15,17.97,1.0,188610,8.358B
Liberty Global plc,LBTYB,19.0,17.98,1.02,0,-2.7,14,10.371B
Mitsui O.S.K. Lines Ltd.,9104.T,3290.0,3245.0,45.0,8.2,401.27,6447900,393.553B
BJ's Wholesale Club Holdings Inc.,BJ,66.16,65.96,0.2,21.84,3.03,977225,8.995B
Lattice Semiconductor Corporation,LSCC,64.88,64.29,0.59,190.82,0.34,839614,8.885B
LARGAN Precision Co.Ltd,3008.TW,2040.0,2050.0,-10.0,11.96,170.54,312802,272.275B
Full Truck Alliance Co. Ltd.,YMM,8.0,8.16,-0.16,0,-2.03,2300850,8.687B
Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna,P9O.F,6.46,6.33,0.13,7.19,0.9,1500,8.291B
New Fortress Energy Inc.,NFE,42.42,42.05,0.37,0,-1.71,837844,8.775B
Umicore SA,UMI.VI,34.56,34.56,0.0,64.0,0.54,0,8.34B
Ipsen S.A.,IPN.PA,100.5,101.0,-0.5,15.31,6.57,42158,8.291B
Bharat Electronics Limited,BEL.NS,99.9,98.9,1.0,13.69,7.3,9235050,243.415B
Toray Industries Inc.,3402.T,736.6,739.4,-2.8,67.6,10.9,3751400,1.179T
Yuanta Financial Holding Co. Ltd.,2885.TW,21.7,21.65,0.05,10.93,1.99,6089294,263.382B
Hang Lung Properties Limited,0101.HK,15.26,15.2,0.06,11.14,1.37,3210150,68.655B
Meridian Energy Limited,MEZ.AX,5.02,5.01,0.01,65.19,0.08,15916,12.928B
TFI International Inc.,TFII,100.24,101.13,-0.89,17.84,5.62,133379,9.327B
Japan Airlines Co. Ltd.,9201.T,2695.0,2690.0,5.0,0,-670.27,2000500,1.178T
Exact Sciences Corporation,EXAS,49.51,49.95,-0.44,0,-5.61,1249363,8.532B
Kanzhun Limited,BZ,20.37,20.71,-0.34,0,-1.9,1707752,8.331B
Coca-Cola HBC AG,CCH.L,1973.0,1929.5,43.5,19.89,99.2,282847,7.219B
Knorr-Bremse Aktiengesellschaft,KBX.DE,51.04,51.92,-0.88,16.63,3.07,46702,8.228B
Sumitomo Electric Industries Ltd.,5802.T,1504.5,1499.5,5.0,50.79,29.62,1075700,1.173T
Comerica Incorporated,CMA,66.85,66.66,0.19,10.89,6.14,608202,8.767B
Kesko Oyj,KESKOA.HE,20.35,20.45,-0.1,16.94,1.2,20022,8.507B
A. O. Smith Corporation,AOS,57.24,57.66,-0.42,23.84,2.4,573818,9.11B
Mowi ASA,MNHVF,16.86,16.86,0.0,61.55,0.27,3000,8.818B
Advance Auto Parts Inc.,AAP,147.03,146.31,0.72,20.59,7.14,992183,9.168B
Rheinmetall AG,RHM.F,187.95,192.95,-5.0,0,-0.62,315,8.191B
Taiwan Mobile Co. Ltd.,3045.TW,94.7,94.5,0.2,23.68,4.0,741440,266.455B
SG Holdings Co.Ltd.,9143.T,1830.0,1837.0,-7.0,15.64,117.03,1063900,1.162T
Bharat Petroleum Corporation Limited,BPCL.NS,330.5,327.2,3.3,16.2,20.4,2099031,716.937B
F5 Inc.,FFIV,143.51,143.15,0.36,31.96,4.49,271586,8.787B
Advanced Micro-Fabrication Equipment Inc. China,688012.SS,98.01,99.65,-1.64,87.04,1.13,4164637,60.398B
Getlink SE,GET.PA,14.98,15.19,-0.21,0,-0.21,578657,8.076B
Tata Consumer Products Limited,TATACONSUM.NS,766.95,776.1,-9.15,97.34,7.88,714992,715.297B
ARC Resources Ltd.,ARX.TO,18.25,18.09,0.16,0,-1.55,2486758,12.856B
China Zheshang Bank Co. Ltd,2016.HK,2.79,2.81,-0.02,0,0,617000,74.576B
Pinnacle West Capital Corporation,PNW,76.04,77.13,-1.09,15.61,4.87,552664,8.579B
Cullen/Frost Bankers Inc.,CFR,133.7,133.97,-0.27,21.76,6.14,200340,8.519B
Northern Star Resources Limited,NST.AX,10.91,11.07,-0.16,25.61,0.43,2604570,12.706B
TPG Inc.,TPG,27.83,28.24,-0.41,0,0,230244,N/A
XP Inc.,XP,15.34,15.25,0.09,15.56,0.99,1254317,8.583B
Dr. Reddy's Laboratories Limited,RDY,51.75,52.12,-0.37,29.9,1.73,123110,8.585B
Wolfspeed Inc.,WOLF,69.04,69.24,-0.2,0,-3.6,1037515,8.024B
Genting Singapore Limited,G13.SI,0.955,0.95,0.01,159.17,0.006,16393600,11.522B
CapitaLand Ascendas REIT,A17U.SI,2.74,2.7,0.04,22.64,0.121,6540700,11.502B
The Kansai Electric Power Company Incorporated,9503.T,1279.0,1271.0,8.0,10.48,122.02,2912800,1.142T
Adevinta ASA,ADE.OL,65.6,65.65,-0.05,0,-1.05,395216,80.253B
Commerce Bancshares Inc.,CBSH,68.07,68.39,-0.32,18.89,3.6,231078,8.303B
XPeng Inc.,XPEV,9.94,9.88,0.06,0,-0.86,11600916,9.045B
Recordati Industria Chimica e Farmaceutica S.p.A.,REC.MI,38.75,39.67,-0.92,22.82,1.7,144301,7.977B
Genpact Limited,G,46.32,46.72,-0.4,29.5,1.57,404658,8.711B
Lennox International Inc.,LII,239.23,242.07,-2.84,21.51,11.12,187053,8.755B
Life Storage Inc.,LSI,98.5,99.94,-1.44,46.24,2.13,408367,8.079B
Rémy Cointreau SA,RCO.PA,157.6,161.3,-3.7,94.26,1.67,40545,7.77B
Metso Outotec Oyj,MOCORP.HE,9.61,9.73,-0.12,51.68,0.19,1236101,7.959B
Nitto Denko Corporation,6988.T,7650.0,7700.0,-50.0,16.19,472.39,543600,1.132T
Elisa Oyj,ELISA.HE,49.46,50.2,-0.74,23.89,2.07,193364,7.923B
Penumbra Inc.,PEN,222.46,221.86,0.6,0,-0.44,156568,8.311B
Hasbro Inc.,HAS,61.01,60.99,0.02,20.57,2.97,1274079,8.416B
Deutsche Wohnen SE,DWNI.DE,19.89,20.1,-0.21,4.81,4.13,21711,7.281B
Knight-Swift Transportation Holdings Inc.,KNX,52.41,52.52,-0.11,18.78,2.79,1337211,8.698B
New Hope Liuhe Co.Ltd.,000876.SZ,12.91,12.73,0.18,16.66,0.77,18829115,58.162B
Jardine Cycle & Carriage Limited,C07.SI,28.6,28.28,0.32,15.72,1.82,298500,11.304B
KT&G Corporation,033780.KS,91500.0,91400.0,100.0,0,0,307875,10.978T
Schroders plc,SDR.L,436.0,445.4,-9.4,2.58,169.3,884178,1.143B
Signify Health Inc.,SGFY,28.66,28.53,0.13,0,-0.1,956701,4.884B
Tokyo Gas Co.Ltd.,9531.T,2585.0,2584.0,1.0,23.03,112.25,752200,1.136T
Lincoln Electric Holdings Inc.,LECO,144.49,145.47,-0.98,38.63,3.74,212168,8.532B
Advantech Co. Ltd.,2395.TW,331.0,330.0,1.0,32.94,10.05,240221,255.473B
Casey's General Stores Inc.,CASY,224.35,226.7,-2.35,25.07,8.95,148406,8.325B
Legend Biotech Corporation,LEGN,49.92,49.69,0.23,0,-2.59,328980,7.629B
Dino Polska S.A.,DNP.WA,375.3,376.7,-1.4,57.14,6.57,93196,36.794B
SIG Group AG,SIGN.SW,20.2,20.44,-0.24,87.45,0.23,438054,6.818B
LG H&H Co. Ltd.,051905.KS,315500.0,321000.0,-5500.0,0,0,7267,5.287T
Havells India Limited,HAVELLS.NS,1099.95,1102.85,-2.9,74.91,14.68,381710,688.902B
Vipshop Holdings Limited,VIPS,13.64,13.76,-0.12,10.32,1.32,4911187,9.242B
Fisher & Paykel Healthcare Corporation Limited,FPH.NZ,22.6,22.38,0.22,33.43,0.68,126352,13.041B
Cleveland-Cliffs Inc.,CLF,16.11,16.49,-0.38,0,-0.07,7363137,8.056B
Korea Zinc Company Ltd.,010130.KS,564000.0,575000.0,-11000.0,0,0,48733,9.968T
Mizrahi Tefahot Bank Ltd.,MZTF.TA,11390.0,11320.0,70.0,1702.54,6.69,807603,2.921T
Mondi plc,MNDI.L,1409.5,1423.0,-13.5,13.5,104.4,250144,6.844B
ADT Inc.,ADT,9.07,9.21,-0.14,0,-0.81,2503978,7.54B
Switch Inc.,SWCH,34.25,34.23,0.02,251.84,0.14,7548836,8.275B
Federal Realty Investment Trust,FRT,101.04,101.15,-0.11,62.37,1.62,400073,7.86B
American Airlines Group Inc.,AAL,12.72,12.7,0.02,0,-14.73,18827809,8.236B
YASKAWA Electric Corporation,6506.T,4225.0,4260.0,-35.0,58.37,72.38,979000,1.104T
SK Inc.,034730.KS,189000.0,196500.0,-7500.0,0,0,142549,10.602T
Shimadzu Corporation,7701.T,3745.0,3775.0,-30.0,32.46,115.39,338600,1.103T
Banque Cantonale Vaudoise,BCVN.SW,88.75,89.9,-1.15,23.03,3.85,41455,7.62B
Webster Financial Corporation,WBS,47.34,47.13,0.21,15.11,3.13,746001,4.288B
Plains All American Pipeline L.P.,PAA,11.76,11.72,0.04,0,-3.83,2716512,8.363B
NOV Inc.,NOV,20.89,20.69,0.2,0,-1.59,1231610,8.162B
SRF Limited,SRF.NS,2290.35,2275.95,14.4,13.21,173.36,232067,678.908B
Dentsu Group Inc.,4324.T,4145.0,4100.0,45.0,0,-571.2,740600,1.139T
VAT Group AG,VACN.SW,252.8,256.8,-4.0,56.81,4.45,45665,7.582B
Penske Automotive Group Inc.,PAG,114.93,114.24,0.69,13.73,8.37,368145,8.936B
United Utilities Group PLC,UU.L,991.4,1007.0,-15.6,61.58,16.1,873618,6.76B
Invesco Ltd.,IVZ,17.99,18.3,-0.31,11.77,1.53,3471515,8.297B
National Retail Properties Inc.,NNN,45.76,45.76,0.0,37.51,1.22,668454,8.036B
Banco Santander México S.A. Institución de Banca Múltiple Grupo Financiero Santander México,BSMX,6.03,5.97,0.06,8.2,0.74,31504,9.204B
Oracle Corporation Japan,4716.T,8520.0,8510.0,10.0,21.83,390.37,131600,1.091T
AngloGold Ashanti Limited,AU,19.42,19.43,-0.01,8.57,2.27,1385018,8.105B
Unum Group,UNM,41.03,41.17,-0.14,10.55,3.89,723544,8.389B
Cognex Corporation,CGNX,47.11,47.52,-0.41,47.11,1.0,484979,8.329B
Bangkok Bank Public Company Limited,BBL.BK,148.0,147.5,0.5,17.19,8.61,11516414,282.508B
IMCD N.V.,IMCD.AS,133.15,136.7,-3.55,59.44,2.24,77296,7.576B
Dropbox Inc.,DBX,22.38,22.34,0.04,0,-0.62,1407854,8.56B
Catalent Inc.,CTLT,45.01,45.26,-0.25,24.94,1.8,2226885,7.705B
Pure Storage Inc.,PSTG,26.76,27.04,-0.28,0,-1.05,1973301,7.759B
SK Telecom Co.Ltd,SKM,20.59,20.77,-0.18,10.16,2.03,341840,8.072B
DCP Midstream LP,DCP,38.79,38.91,-0.12,0,-1.75,470340,8.083B
Pearson plc,PSO,11.27,11.3,-0.03,19.88,0.57,261136,8.529B
Owens Corning,OC,85.3,87.0,-1.7,12.37,6.89,799168,8.572B
Mediobanca Banca di Credito Finanziario S.p.A.,MB.MI,8.98,9.11,-0.13,14.54,0.62,897381,7.748B
RenaissanceRe Holdings Ltd.,RNR,184.23,186.28,-2.05,17.48,10.54,194526,8.478B
Alcoa Corporation,AA,45.47,46.56,-1.09,0,-0.4,3530081,8.508B
Azrieli Group Ltd,AZRG.TA,23360.0,23400.0,-40.0,14993.58,1.56,156768,2.833T
Singapore Technologies Engineering Ltd,SJX.F,2.38,2.32,0.06,22.88,0.104,857,7.413B
The Tata Power Company Limited,TATAPOWER.NS,207.7,205.85,1.85,60.91,3.41,7370056,663.672B
Robert Half International Inc.,RHI,73.83,73.87,-0.04,25.56,2.89,405715,8.219B
Open Text Corporation,OTEX,29.64,29.95,-0.31,89.55,0.33,640219,8.049B
James Hardie Industries plc,JHX,17.94,17.93,0.01,47.21,0.38,99556,7.986B
Marico Limited,MARICO.NS,509.85,515.4,-5.55,56.15,9.08,405107,674.006B
Want Want China Holdings Limited,0151.HK,5.22,5.2,0.02,16.27,0.321,2023298,62.115B
Fresnillo plc,FNLPF,10.72,10.65,0.07,21.1,0.51,1645,7.9B
Sinopharm Group Co. Ltd.,1099.HK,19.84,19.98,-0.14,8.41,2.358,3627438,61.914B
Regal Rexnord Corporation,RRX,119.98,120.14,-0.16,18.55,6.47,350305,8.13B
Celsius Holdings Inc.,CELH,104.04,103.39,0.65,945.82,0.11,862867,7.784B
China Gas Holdings Limited,0384.HK,11.36,11.32,0.04,6.45,1.76,2573185,62.807B
T&D Holdings Inc.,8795.T,1902.0,1883.0,19.0,7.3,260.44,1734500,1.106T
Fortune Brands Home & Security Inc.,FBHS,61.9,63.22,-1.32,13.97,4.43,2258487,8.402B
OGE Energy Corp.,OGE,39.55,40.22,-0.67,0,-0.87,792839,7.917B
Insurance Australia Group Limited,IAG.AX,4.75,4.73,0.02,0,-0.133,1817276,11.709B
Churchill Downs Incorporated,CHDN,211.43,211.27,0.16,0,-0.57,109200,8.087B
Choice Properties Real Estate Investment Trust,CHP-UN.TO,14.76,14.77,-0.01,86.32,0.17,182568,4.834B
Nissin Foods Holdings Co.Ltd.,2897.T,10420.0,10590.0,-170.0,27.32,381.34,175400,1.071T
Intertek Group plc,ITRK.L,4034.0,4060.0,-26.0,26.47,152.4,107877,6.511B
JD Sports Fashion plc,JD.L,126.15,123.15,3.0,5.48,23.0,2432717,6.507B
Euronext N.V.,ENX.PA,69.16,70.58,-1.42,15.24,4.54,73151,7.36B
SEI Investments Company,SEIC,58.3,58.76,-0.46,18.4,3.17,357881,8.13B
ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS,451.3,448.0,3.3,67.86,6.65,894716,648.649B
Jefferies Financial Group Inc.,JEF,34.28,34.57,-0.29,7.8,4.39,1075393,8.418B
Admiral Group plc,ADM.L,2137.0,2127.0,10.0,11.93,179.1,184477,6.401B
Becle S.A.B. de C.V.,CUERVO.MX,42.37,42.37,0.0,26.78,1.58,1005173,152.151B
Türkiye Petrol Rafinerileri A.S.,TUPRS.IS,529.9,506.5,23.4,0,-9.96,10359351,132.697B
Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,4477.6,4524.45,-46.85,308.08,14.53,348909,643.812B
Masimo Corporation,MASI,147.95,146.85,1.1,37.54,3.94,248478,8.17B
UGI Corporation,UGI,37.07,37.64,-0.57,12.45,2.98,770813,7.756B
Doosan Enerbility Co. Ltd.,034020.KS,15400.0,15700.0,-300.0,0,0,4181020,8.266T
Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS,5741.6,5851.5,-109.9,20.87,275.14,112664,639.006B
Whirlpool Corporation,WHR,141.46,143.1,-1.64,6.6,21.44,440033,8.593B
Chubu Electric Power Company Incorporated,9502.T,1362.0,1360.0,2.0,7.0,194.65,1877700,1.03T
NovoCure Limited,NVCR,73.35,71.48,1.87,705.29,0.1,481908,7.862B
Halozyme Therapeutics Inc.,HALO,56.9,56.98,-0.08,62.53,0.91,823395,8.011B
Tetra Tech Inc.,TTEK,145.19,146.05,-0.86,42.19,3.44,241940,7.824B
OCI N.V.,OCI.AS,33.42,33.78,-0.36,0,-0.7,237812,7.01B
Arabian Internet and Communications Services Co. Ltd.,7202.SR,242.8,244.4,-1.6,36.8,6.6,54947,N/A
La Française des Jeux Société anonyme,FDJ.VI,37.68,37.85,-0.17,33.67,1.12,0,7.197B
Petronas Gas Bhd,6033.KL,17.12,17.12,0.0,17.07,0,1815800,33.876B
Orion Oyj,ORNAV.HE,51.1,52.6,-1.5,34.07,1.5,4540,7.174B
PT Adaro Energy Indonesia Tbk,ADRO.JK,3850.0,3800.0,50.0,962499.94,0.0,98381200,123.146T
US Foods Holding Corp.,USFD,34.02,34.24,-0.22,0,-1.15,867727,7.579B
Williams-Sonoma Inc.,WSM,0,116.55,-116.55,13.35,8.61,913286,8.384B
India) Limited,GAIL.NS,96.05,95.95,0.1,5.17,18.57,7276792,426.499B
Kingdom Holding Company,4280.SR,7.74,7.73,0.01,0,-0.4,41168,28.684B
Americold Realty Trust Inc.,COLD,28.31,28.54,-0.23,257.36,0.11,669358,7.552B
Samsung Electro-Mechanics Co. Ltd.,009155.KS,64000.0,64400.0,-400.0,0,0,3044,10.327T
Sibanye Stillwater Limited,SBSW,10.66,10.73,-0.07,2.76,3.87,4114476,7.5B
Yamaha Motor Co. Ltd.,7272.T,3010.0,2998.0,12.0,19.82,151.9,1028500,1.046T
publ),LIFCO-B.ST,174.15,177.7,-3.55,9.02,19.31,205417,84.392B
Chemed Corporation,CHE,510.43,517.15,-6.72,25.36,20.13,86115,7.858B
MISC,3816.KL,7.5,7.39,0.11,0,0,11122200,N/A
Covestro AG,1COV.F,36.76,36.81,-0.05,8.3,4.43,320,7.101B
Manhattan Associates Inc.,MANH,121.4,121.65,-0.25,89.26,1.36,200189,7.682B
Aselsan Elektronik Sanayi ve Ticaret Anonim Sirketi,ASELS.IS,62.15,58.8,3.35,29.75,2.09,174768398,141.702B
Zillow Group Inc.,ZG,31.21,31.1,0.11,0,-0.72,698526,8.092B
CCL Industries Inc.,CCL-B.TO,57.84,58.56,-0.72,19.63,2.95,124642,10.368B
Ciena Corporation,CIEN,50.98,50.73,0.25,22.47,2.27,941232,7.896B
S-Oil Corporation,010950.KS,83400.0,86300.0,-2900.0,0,0,350177,9.586T
Jones Lang LaSalle Incorporated,JLL,159.37,161.17,-1.8,20.7,7.7,127167,8.043B
International Consolidated Airlines Group S.A.,BABWF,1.525,1.56,-0.04,0,-2.366,11767,7.566B
Traton SE,8TRA.DE,14.13,14.18,-0.05,0,-0.2,25286,7.065B
HMM Co.Ltd,011200.KS,19550.0,20100.0,-550.0,0,0,1700752,9.561T
ACS Actividades de Construcción y Servicios S.A.,ACS.MC,26.77,26.99,-0.22,13.73,1.95,464020,7.165B
United Spirits Limited,UNITDSPR.BO,877.25,878.35,-1.1,289.14,0,47450,622.271B
OTP Bank Nyrt.,OTP.F,25.04,25.17,-0.13,5.95,4.21,568,6.984B
Punjab National Bank,PNB.NS,56.45,55.4,1.05,47.64,1.18,115213196,621.571B
Berry Global Group Inc.,BERY,60.43,60.66,-0.23,12.74,4.74,513398,8.194B
Gecina SA,GFC.PA,95.15,96.3,-1.15,45.31,2.1,57572,7.014B
DiaSorin S.p.A.,DIA.MI,130.4,132.15,-1.75,28.98,4.5,62523,7.136B
Tokyu Corporation,9005.T,1663.0,1667.0,-4.0,0,-49.93,891000,1.005T
