Company,Symbol,Marketprice,previousClosePrice,changeInPrice,pe_ratio,eps_ratio,Volume,MarketCap
Daiwa House Industry Co. Ltd.,1925.T,3039.0,3023.0,16.0,10.36,293.2,1132000,1.988T
SBI Life Insurance Company Limited,SBILIFE.NS,1231.3,1258.6,-27.3,84.63,14.55,1052661,1.232T
Swire Properties Limited,1972.HK,19.84,19.54,0.3,3.42,5.8,1454996,116.064B
Toshiba Corporation,6502.T,4603.0,4639.0,-36.0,28.03,164.19,1150800,1.991T
Cloudflare Inc.,NET,45.21,45.36,-0.15,0,-0.7,2428943,15.963B
Fairfax Financial Holdings Limited,FFH.TO,802.07,803.18,-1.11,8.14,98.59,17630,21.282B
Synchrony Financial,SYF,32.86,32.84,0.02,9.24,3.56,3275490,17.983B
Textron Inc.,TXT,70.8,71.22,-0.42,37.68,1.88,959076,15.606B
Blue Owl Capital Inc.,OWL,10.6,10.67,-0.07,0,-5.02,2151072,3.866B
Terna - Rete Elettrica Nazionale Società per Azioni,TRN.MI,6.9,7.08,-0.18,17.65,0.39,2790140,13.848B
NVR Inc.,NVR,4612.58,4648.06,-35.48,18.57,248.33,8642,16.064B
Fortum Oyj,FORTUM.HE,15.54,15.84,-0.3,7.58,2.05,814544,13.804B
B3 S.A. - Brasil Bolsa Balcão,B3SA3.SA,13.21,13.4,-0.19,6.52,2.03,54262600,80.225B
Geely Automobile Holdings Limited,0175.HK,11.4,11.36,0.04,11.33,1.006,44276793,114.21B
HDFC Life Insurance Company Limited,HDFCLIFE.NS,566.25,571.0,-4.75,98.8,5.73,1690756,1.196T
PT Astra International Tbk,ASII.JK,5700.0,5650.0,50.0,15.32,372.0,36384500,230.757T
Shionogi & Co. Ltd.,4507.T,6586.0,6568.0,18.0,17.21,382.67,1061400,1.985T
Hyundai Mobis Co.Ltd,012330.KS,200500.0,207000.0,-6500.0,0,0,215304,18.255T
Lasertec Corporation,6920.T,21745.0,22515.0,-770.0,109.09,199.33,12068100,1.961T
Avery Dennison Corporation,AVY,181.0,181.42,-0.42,24.1,7.51,225387,14.986B
JDE Peet's N.V.,JDE.F,27.24,27.16,0.08,34.35,0.79,8,13.673B
Sompo Holdings Inc.,8630.T,5860.0,5848.0,12.0,21.26,275.58,851900,2.036T
Tencent Music Entertainment Group,TME,8.28,8.39,-0.11,21.62,0.38,5350058,14.317B
Skyworks Solutions Inc.,SWKS,91.13,90.94,0.19,12.61,7.22,1566916,15.072B
Surgutneftegas Public Joint Stock Company,SNGS.ME,26.0,26.14,-0.14,1.34,19.34,10134200,928.697B
Sonova Holding AG,SOON.SW,219.3,221.6,-2.3,41.79,5.25,110608,13.665B
First Quantum Minerals Ltd.,FM.TO,28.29,29.45,-1.16,657.91,0.04,1909540,19.549B
Iron Mountain Incorporated,IRM,49.85,50.13,-0.28,41.93,1.19,953098,14.434B
Prada S.p.A.,1913.HK,44.1,44.0,0.1,50.55,0.872,355961,112.844B
WSP Global Inc.,WSP.TO,157.09,156.36,0.73,62.84,2.5,96596,18.463B
Evergy Inc.,EVRG,62.93,63.52,-0.59,23.14,2.72,705558,14.53B
Snap Inc.,SNAP,8.95,8.81,0.14,0,-0.63,15908339,14.408B
Nitori Holdings Co. Ltd.,9843.T,17050.0,16940.0,110.0,20.88,816.66,308800,1.924T
Coca-Cola FEMSA S.A.B. de C.V.,KOF,67.88,69.07,-1.19,26.43,2.57,138216,14.26B
Leidos Holdings Inc.,LDOS,105.19,105.03,0.16,24.13,4.36,372920,14.762B
Shaw Communications Inc.,SJR,28.78,26.39,2.39,24.75,1.16,10640075,14.317B
PJSC Tatneft,TATN.ME,409.9,407.9,2.0,8.91,45.98,453564,917.467B
AerCap Holdings N.V.,AER,58.32,57.87,0.45,0,-2.72,428772,14.281B
Shinhan Financial Group Co. Ltd.,SHG,27.93,28.13,-0.2,4.71,5.93,68867,14.428B
LKQ Corporation,LKQ,53.41,53.98,-0.57,21.42,2.49,716459,15.569B
Avantor Inc.,AVTR,21.09,21.04,0.05,72.23,0.29,5043205,12.853B
